Date,NB_Article_Count,NB_Positive_Count,NB_Negative_Count,NB_Neutral_Count,NB_Positive_Ratio,NB_Negative_Ratio,NB_Neutral_Ratio,NB_Net_Sentiment,NB_Net_Sentiment_Ratio,NB_negative_Mean_Proba,NB_neutral_Mean_Proba,NB_positive_Mean_Proba
2012-01-29,3,3,0,0,1.0,0.0,0.0,3,1.0,0.0018388670022524295,0.018102762446444782,0.980058370551304
2012-01-30,24,23,0,1,0.9583333333333334,0.0,0.041666666666666664,23,0.9583333333333334,0.0027003599788919656,0.0473782509470024,0.9499213890741066
2012-01-31,46,46,0,0,1.0,0.0,0.0,46,1.0,0.002358495827302584,0.03721098852355998,0.9604305156491383
2012-02-01,40,39,0,1,0.975,0.0,0.025,39,0.975,0.002763834671902498,0.04032185766467132,0.9569143076634251
2012-02-02,17,17,0,0,1.0,0.0,0.0,17,1.0,0.004266820002750787,0.04363425513502243,0.9520989248622262
2012-02-03,13,13,0,0,1.0,0.0,0.0,13,1.0,0.0053467666785418,0.04401935952511868,0.9506338737963417
2012-02-05,1,1,0,0,1.0,0.0,0.0,1,1.0,8.682064781826234e-05,0.0021106957290548006,0.9978024836231234
2012-02-06,21,21,0,0,1.0,0.0,0.0,21,1.0,0.0038067091463914863,0.04087930689032996,0.9553139839632783
2012-02-07,22,22,0,0,1.0,0.0,0.0,22,1.0,0.003193177266656104,0.05718731560920285,0.9396195071241403
2012-02-08,22,20,0,2,0.9090909090909091,0.0,0.09090909090909091,20,0.9090909090909091,0.0030955270517424626,0.10648996344027907,0.890414509507978
2012-02-09,32,32,0,0,1.0,0.0,0.0,32,1.0,0.002852745388811196,0.04522644612818649,0.9519208084830026
2012-02-10,27,27,0,0,1.0,0.0,0.0,27,1.0,0.004351741109747446,0.0534865490309508,0.9421617098593015
2012-02-11,1,1,0,0,1.0,0.0,0.0,1,1.0,0.0007523515241553119,0.02250844574738512,0.9767392027284598
2012-02-12,4,4,0,0,1.0,0.0,0.0,4,1.0,0.015427739945552025,0.08430123637485083,0.9002710236795954
2012-02-13,49,49,0,0,1.0,0.0,0.0,49,1.0,0.0050728512296518615,0.048995848798761024,0.9459312999715871
2012-02-14,51,51,0,0,1.0,0.0,0.0,51,1.0,0.005748559537912969,0.054858990878568915,0.9393924495835182
2012-02-15,66,66,0,0,1.0,0.0,0.0,66,1.0,0.004817386208559497,0.04154272587832955,0.9536398879131118
2012-02-16,40,40,0,0,1.0,0.0,0.0,40,1.0,0.004217793430299173,0.04748537762212281,0.9482968289475775
2012-02-17,27,27,0,0,1.0,0.0,0.0,27,1.0,0.007693491257146284,0.07736013384097598,0.9149463749018774
2012-02-18,3,3,0,0,1.0,0.0,0.0,3,1.0,0.022519618964186545,0.11134846843264967,0.866131912603163
2012-02-19,4,4,0,0,1.0,0.0,0.0,4,1.0,0.00601905137632635,0.029518271530111398,0.9644626770935645
2012-02-20,12,12,0,0,1.0,0.0,0.0,12,1.0,0.003457569035335163,0.032967840552634055,0.9635745904120316
2012-02-21,42,42,0,0,1.0,0.0,0.0,42,1.0,0.004768581518135105,0.058066882764747016,0.9371645357171181
2012-02-22,32,32,0,0,1.0,0.0,0.0,32,1.0,0.004257344103595528,0.042011376475533255,0.9537312794208714
2012-02-23,40,40,0,0,1.0,0.0,0.0,40,1.0,0.0051385621905883135,0.03948299245627483,0.9553784453531378
2012-02-24,30,30,0,0,1.0,0.0,0.0,30,1.0,0.005734745069771148,0.05757350844918982,0.9366917464810378
2012-02-25,1,1,0,0,1.0,0.0,0.0,1,1.0,0.004538968772741443,0.022121697448975446,0.9733393337782842
2012-02-26,3,3,0,0,1.0,0.0,0.0,3,1.0,0.00044148020466416713,0.008569468724580913,0.9909890510707572
2012-02-27,37,37,0,0,1.0,0.0,0.0,37,1.0,0.006070477696751705,0.06548406423300521,0.9284454580702434
2012-02-28,36,36,0,0,1.0,0.0,0.0,36,1.0,0.0034255237943532223,0.038038144349972214,0.9585363318556746
2012-02-29,37,37,0,0,1.0,0.0,0.0,37,1.0,0.003365238786299983,0.042632919644653884,0.9540018415690454
2012-03-01,18,18,0,0,1.0,0.0,0.0,18,1.0,0.0034986024290869283,0.04093600211568244,0.9555653954552308
2012-03-02,22,22,0,0,1.0,0.0,0.0,22,1.0,0.005228511214472321,0.04025781860046893,0.9545136701850577
2012-03-03,4,4,0,0,1.0,0.0,0.0,4,1.0,0.007209362754112504,0.10727117299213015,0.8855194642537572
2012-03-04,3,3,0,0,1.0,0.0,0.0,3,1.0,0.01500432992175556,0.10287465534161257,0.8821210147366347
2012-03-05,30,30,0,0,1.0,0.0,0.0,30,1.0,0.004006208149811496,0.046218705033028225,0.9497750868171599
2012-03-06,40,40,0,0,1.0,0.0,0.0,40,1.0,0.005707917772515049,0.0669522448941235,0.927339837333362
2012-03-07,75,74,0,1,0.9866666666666667,0.0,0.013333333333333334,74,0.9866666666666667,0.005382584888682151,0.07239764512911204,0.9222197699822059
2012-03-08,58,58,0,0,1.0,0.0,0.0,58,1.0,0.0070097783035406565,0.04687341894481091,0.946116802751648
2012-03-09,32,32,0,0,1.0,0.0,0.0,32,1.0,0.004270977349131714,0.04845957871059203,0.9472694439402758
2012-03-10,2,2,0,0,1.0,0.0,0.0,2,1.0,0.021185363725316236,0.04433879891474755,0.9344758373599408
2012-03-11,3,3,0,0,1.0,0.0,0.0,3,1.0,0.006030504162084653,0.07752877624781443,0.9164407195901033
2012-03-12,37,37,0,0,1.0,0.0,0.0,37,1.0,0.003990447659893188,0.05031403585143061,0.9456955164886767
2012-03-13,34,34,0,0,1.0,0.0,0.0,34,1.0,0.003173233465841473,0.05944402682202507,0.9373827397121336
2012-03-14,41,41,0,0,1.0,0.0,0.0,41,1.0,0.0038621759727502825,0.053539526303394015,0.9425982977238554
2012-03-15,45,45,0,0,1.0,0.0,0.0,45,1.0,0.0028669609168305143,0.03722957216884558,0.9599034669143239
2012-03-16,54,54,0,0,1.0,0.0,0.0,54,1.0,0.004618749974001409,0.04598892845110977,0.9493923215748893
2012-03-17,4,4,0,0,1.0,0.0,0.0,4,1.0,0.007605881960189636,0.052806856735683416,0.9395872613041271
2012-03-18,11,11,0,0,1.0,0.0,0.0,11,1.0,0.005772316963422161,0.05943456649477094,0.9347931165418063
