expirationDate,optionType,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
2025-12-12,put,AAPL251212P00195000,2025-12-01 16:19:59+00:00,195.0,0.01,0.0,0.04,0.0,0.0,1.0,118,1.1875040625,False,REGULAR,USD
2025-12-12,put,AAPL251212P00200000,2025-12-05 14:35:49+00:00,200.0,0.01,0.0,0.04,0.0,0.0,1.0,2188,1.109379453125,False,REGULAR,USD
2025-12-12,put,AAPL251212P00205000,2025-12-02 17:41:56+00:00,205.0,0.01,0.0,0.03,0.0,0.0,41.0,208,1.000005,False,REGULAR,USD
2025-12-12,put,AAPL251212P00210000,2025-12-03 20:45:49+00:00,210.0,0.01,0.0,0.03,0.0,0.0,2.0,187,0.929688203125,False,REGULAR,USD
2025-12-12,put,AAPL251212P00215000,2025-12-03 17:49:43+00:00,215.0,0.01,0.0,0.03,0.0,0.0,2.0,156,0.85937640625,False,REGULAR,USD
2025-12-12,put,AAPL251212P00220000,2025-12-08 18:25:28+00:00,220.0,0.01,0.0,0.01,0.0,0.0,5.0,378,0.7187528125,False,REGULAR,USD
2025-12-12,put,AAPL251212P00222500,2025-12-05 20:42:54+00:00,222.5,0.01,0.0,0.05,0.0,0.0,1.0,244,0.789064609375,False,REGULAR,USD
2025-12-12,put,AAPL251212P00225000,2025-12-05 20:43:01+00:00,225.0,0.01,0.0,0.01,0.0,0.0,10.0,271,0.6562534375000001,False,REGULAR,USD
2025-12-12,put,AAPL251212P00227500,2025-12-08 14:32:29+00:00,227.5,0.01,0.0,0.04,0.0,0.0,1.0,567,0.70312796875,False,REGULAR,USD
2025-12-12,put,AAPL251212P00230000,2025-12-05 16:06:30+00:00,230.0,0.01,0.0,0.04,0.0,0.0,182.0,533,0.6640658593750002,False,REGULAR,USD
2025-12-12,put,AAPL251212P00232500,2025-12-05 17:11:59+00:00,232.5,0.01,0.0,0.04,0.0,0.0,314.0,469,0.632816171875,False,REGULAR,USD
2025-12-12,put,AAPL251212P00235000,2025-12-09 15:47:40+00:00,235.0,0.01,0.0,0.01,0.0,0.0,25.0,855,0.51562984375,False,REGULAR,USD
2025-12-12,put,AAPL251212P00240000,2025-12-09 20:46:06+00:00,240.0,0.01,0.0,0.03,0.0,0.0,4.0,1134,0.507817421875,False,REGULAR,USD
2025-12-12,put,AAPL251212P00245000,2025-12-09 16:13:56+00:00,245.0,0.01,0.0,0.02,0.0,0.0,277.0,2932,0.45703667968750006,False,REGULAR,USD
2025-12-12,put,AAPL251212P00247500,2025-12-09 17:19:47+00:00,247.5,0.01,0.01,0.03,0.0,0.0,6.0,440,0.445318046875,False,REGULAR,USD
2025-12-12,put,AAPL251212P00250000,2025-12-09 20:46:42+00:00,250.0,0.02,0.01,0.02,0.01,100.0,290.0,4091,0.39063109375,False,REGULAR,USD
2025-12-12,put,AAPL251212P00252500,2025-12-09 20:36:51+00:00,252.5,0.01,0.01,0.03,-0.02,-66.66667,353.0,429,0.37500625,False,REGULAR,USD
2025-12-12,put,AAPL251212P00255000,2025-12-09 20:40:08+00:00,255.0,0.02,0.02,0.03,-0.01,-33.333336,727.0,2377,0.3398503515625,False,REGULAR,USD
2025-12-12,put,AAPL251212P00257500,2025-12-09 20:46:47+00:00,257.5,0.04,0.02,0.04,0.0,0.0,229.0,1386,0.31641308593749995,False,REGULAR,USD
2025-12-12,put,AAPL251212P00260000,2025-12-09 20:58:33+00:00,260.0,0.05,0.04,0.05,-0.02,-28.571428,388.0,4013,0.2890696093749999,False,REGULAR,USD
2025-12-12,put,AAPL251212P00262500,2025-12-09 20:58:53+00:00,262.5,0.08,0.06,0.08,-0.030000001,-27.272728,365.0,4666,0.270515107421875,False,REGULAR,USD
2025-12-12,put,AAPL251212P00265000,2025-12-09 20:59:25+00:00,265.0,0.13,0.11,0.13,-0.060000002,-31.578947,1465.0,3858,0.25196060546875,False,REGULAR,USD
2025-12-12,put,AAPL251212P00267500,2025-12-09 20:59:29+00:00,267.5,0.22,0.2,0.22,-0.060000002,-21.428572,1494.0,4768,0.23438265625,False,REGULAR,USD
2025-12-12,put,AAPL251212P00270000,2025-12-09 20:59:51+00:00,270.0,0.4,0.38,0.4,-0.060000002,-13.043478,4279.0,7110,0.22022264160156246,False,REGULAR,USD
2025-12-12,put,AAPL251212P00272500,2025-12-09 20:59:58+00:00,272.5,0.75,0.71,0.74,-0.060000002,-7.4074073,7053.0,5480,0.20777159423828123,False,REGULAR,USD
2025-12-12,put,AAPL251212P00275000,2025-12-09 20:59:57+00:00,275.0,1.36,1.32,1.34,-0.01999998,-1.449274,18193.0,6931,0.19654123779296873,False,REGULAR,USD
2025-12-12,put,AAPL251212P00277500,2025-12-09 20:59:43+00:00,277.5,2.35,2.27,2.32,0.059999943,2.6200848,15693.0,5774,0.18616536499023437,True,REGULAR,USD
2025-12-12,put,AAPL251212P00280000,2025-12-09 20:59:06+00:00,280.0,3.86,3.7,3.85,-0.13000011,-3.2581482,4780.0,5770,0.18506674316406246,True,REGULAR,USD
2025-12-12,put,AAPL251212P00282500,2025-12-09 20:52:34+00:00,282.5,5.75,5.45,5.8,0.1500001,2.6785731,902.0,1761,0.18677571044921876,True,REGULAR,USD
2025-12-12,put,AAPL251212P00285000,2025-12-09 20:59:58+00:00,285.0,7.8,7.8,8.1,0.05000019,0.6451638,723.0,2189,0.20557435058593748,True,REGULAR,USD
2025-12-12,put,AAPL251212P00287500,2025-12-09 20:54:41+00:00,287.5,10.29,10.15,10.6,0.119999886,1.1799399,278.0,2198,0.2514723291015625,True,REGULAR,USD
