Date,NB_Article_Count,NB_Positive_Count,NB_Negative_Count,NB_Positive_Ratio,NB_Negative_Ratio,NB_Net_Sentiment,NB_Net_Sentiment_Ratio,NB_negative_Mean_Proba,NB_positive_Mean_Proba
2015-08-05,37,37,0,1.0,0.0,37,1.0,0.043897636316249135,0.9561023636837497
2015-08-06,24,24,0,1.0,0.0,24,1.0,0.03928829901634492,0.9607117009836559
2015-08-07,23,23,0,1.0,0.0,23,1.0,0.05538526704139842,0.9446147329586027
2015-08-08,4,4,0,1.0,0.0,4,1.0,0.11306694250362898,0.886933057496371
2015-08-09,2,2,0,1.0,0.0,2,1.0,0.047515921717158925,0.9524840782828428
2015-08-10,18,18,0,1.0,0.0,18,1.0,0.02510642749727519,0.9748935725027251
2015-08-11,23,23,0,1.0,0.0,23,1.0,0.0664910286715884,0.9335089713284119
2015-08-12,19,19,0,1.0,0.0,19,1.0,0.03907633631467215,0.9609236636853293
2015-08-13,23,23,0,1.0,0.0,23,1.0,0.046223719886805924,0.9537762801131929
2015-08-14,21,21,0,1.0,0.0,21,1.0,0.053148985573144444,0.9468510144268553
2015-08-15,5,5,0,1.0,0.0,5,1.0,0.022584228710839593,0.9774157712891615
2015-08-17,12,12,0,1.0,0.0,12,1.0,0.01305275459888984,0.9869472454011126
2015-08-18,24,24,0,1.0,0.0,24,1.0,0.03030528090346606,0.9696947190965336
2015-08-19,25,25,0,1.0,0.0,25,1.0,0.04392068021570992,0.9560793197842892
2015-08-20,16,16,0,1.0,0.0,16,1.0,0.028222647971702375,0.9717773520282972
2015-08-21,18,18,0,1.0,0.0,18,1.0,0.024627671760543975,0.9753723282394561
2015-08-22,13,13,0,1.0,0.0,13,1.0,0.08003405176630779,0.9199659482336917
2015-08-23,2,2,0,1.0,0.0,2,1.0,0.024872304211295295,0.9751276957887043
2015-08-24,17,17,0,1.0,0.0,17,1.0,0.013764271785455274,0.9862357282145446
2015-08-25,31,31,0,1.0,0.0,31,1.0,0.04007683981269463,0.9599231601873056
2015-08-26,20,20,0,1.0,0.0,20,1.0,0.013980121345247381,0.9860198786547529
2015-08-27,20,20,0,1.0,0.0,20,1.0,0.01324967957157384,0.9867503204284253
2015-08-28,30,30,0,1.0,0.0,30,1.0,0.02849522207088572,0.9715047779291143
2015-08-29,7,7,0,1.0,0.0,7,1.0,0.11617003195549658,0.8838299680445031
2015-08-30,3,3,0,1.0,0.0,3,1.0,0.03378039481122749,0.9662196051887673
2015-08-31,12,12,0,1.0,0.0,12,1.0,0.015157690051798617,0.9848423099482001
2015-09-01,22,22,0,1.0,0.0,22,1.0,0.04168053885450991,0.9583194611454899
2015-09-02,28,28,0,1.0,0.0,28,1.0,0.05214585795475218,0.9478541420452479
2015-09-03,21,21,0,1.0,0.0,21,1.0,0.06150479078959893,0.9384952092103996
2015-09-04,12,12,0,1.0,0.0,12,1.0,0.06302540211981593,0.936974597880185
2015-09-05,1,1,0,1.0,0.0,1,1.0,0.00013934984589087583,0.9998606501541043
2015-09-06,1,1,0,1.0,0.0,1,1.0,0.00038902201277855896,0.9996109779872215
